Name,PFF Draft Spot,NFL Draft Buzz,Dynasty Nerds,0,1,2,3,4,5,6,7,8,9
Mario Williams,,,,"('Cordarrelle Patterson', 86)","('Anthony Schwartz', 85)","('Marquess Wilson', 85)","('Craig Davis', 85)","('JuJu Smith-Schuster', 84)","('Cedric James', 84)","('Elijah Moore', 83)","('Laquon Treadwell', 83)","('Amari Cooper', 83)","('Stefon Diggs', 83)"
Marvin Mims,,,,"('Antonio Callaway', 93)","('JuJu Smith-Schuster', 93)","('Anthony Schwartz', 92)","('Marquess Wilson', 92)","('Justin Hunter', 92)","('Dwayne Jarrett', 92)","(""Ja'Marr Chase"", 91)","('Amon-Ra St. Brown', 91)","('D.K. Metcalf', 91)","('Jordan Lasley', 91)"
Parker Washington,,,,"('JuJu Smith-Schuster', 94)","('Marquess Wilson', 94)","('Dwayne Jarrett', 94)","('Anthony Schwartz', 93)","('Antonio Callaway', 93)","('Tyler Boyd', 93)","('Brandin Cooks', 93)","('Justin Hunter', 93)","('Kenny Britt', 93)","('Earl Bennett', 93)"
Quentin Johnston,,,,"('Jordan Lasley', 93)","('Rashod Bateman', 92)","('Amari Cooper', 92)","('Leonte Carroo', 92)","('Darren Waller', 92)","('Justin Hunter', 92)","('Dez Bryant', 92)","('Kenny Britt', 92)","('Demaryius Thomas', 92)","('Mike Williams', 92)"
Rakim Jarrett,,,,"('Devard Darling', 92)","('Kelvin Harmon', 91)","('Jordan Lasley', 91)","('Cody Latimer', 91)","('Nico Collins', 90)","('Marquise Brown', 90)","('Justin Hunter', 90)","('Jeremy Maclin', 90)","('Louis Murphy', 90)","('Anthony Gonzalez', 90)"
Theo Wease,,,,"('Antonio Callaway', 92)","('Anthony Schwartz', 91)","(""Ja'Marr Chase"", 90)","('Jerry Jeudy', 90)","('Jordan Lasley', 90)","('Malachi Dupre', 90)","('Craig Davis', 90)","('Seth Williams', 89)","('Elijah Moore', 89)","('Dyami Brown', 89)"
Trey Knox,,,,"('Craig Davis', 90)","('Donte Moncrief', 89)","('Marcus Monk', 89)","('Anthony Schwartz', 88)","('Seth Williams', 88)","('Henry Ruggs III', 88)","('Malachi Dupre', 88)","('Dexter McCluster', 88)","('Amari Cooper', 87)","('Stefon Diggs', 87)"
Troy Franklin,,,,"('Marquess Wilson', 83)","('Anthony Schwartz', 82)","('Dwayne Jarrett', 82)","('Craig Davis', 82)","('Jordan Kent', 82)","('JuJu Smith-Schuster', 81)","('Cordarrelle Patterson', 81)","('Maurice Stovall', 81)","('Cedric James', 81)","('Reggie Germany', 81)"
Tyrone Tracy Jr.,,,,"('Brice Butler', 87)","('Olabisi Johnson', 86)","('Hunter Renfrow', 86)","('Stacy Coley', 86)","('Derrick Williams', 86)","('DaeSean Hamilton', 85)","('Mario Urrutia', 85)","('Deon Butler', 85)","('Demarcus Robinson', 84)","('Jarett Dillard', 84)"
Xavier Worthy,,,,"('David Terrell', 95)","('Justin McCareins', 95)","('Quincy Morgan', 95)","('Freddie Mitchell', 94)","('Rod Gardner', 94)","('Kenny Britt', 93)","('Chris Henry', 93)","('Taco Wallace', 93)","('Josh Reed', 93)","('Steve Smith', 93)"
Zay Flowers,,,,"('D.J. Moore', 97)","('Devonta Smith', 96)","('Isaiah Hodgins', 96)","(""N'Keal Harry"", 96)","('Andy Isabella', 96)","('Chris Godwin', 96)","('Tyler Lockett', 96)","('Jordan Matthews', 96)","('Deandre Hopkins', 96)","('Keenan Allen', 96)"
