,Name,cfb_id,pfr_id,School,Conference,DR,DP,NFL POS,Draft Year,Designation in last Year,Landing Team,Age IN DRAFT YEAR (9/1/dy),DOB,Conference Drafted Rate,Conference Hit Rate,Age Adjusted Hit Rate AVG,Pre-Draft,Pre-Draft Percentile,Post-Draft,Post-Draft Percentile,Cr.Year BO,>20%,>30%,Decimal BOA (30%),Cr.Year BO.1,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Per Game College Dominator Rating,YPTpA Dominator,Yards Dominator,Conference.1,Team (Conference Adjusted),Age,Conference.2,Team,Age.1,First RecYds/TmPatt,Best RecYds/TmPatt,Last RecYds/TmPatt,AVG RecYds/TmPatt,First RecYds/TmPatt Above Conference AVg,Best RecYds/TmPatt Above Conference Avg,Last  RecYds/TmPatt Above Conference Avg,AVG  RecYds/TmPatt Above Conference Avg,First RecYds/TmPatt Above TM Avg,Best RecYds/TmPatt Above TM Avg,Last  RecYds/TmPatt Above TM Avg,AVG  RecYds/TmPatt Above TM Avg,First RecYds/TmPatt Above AGE Avg,Best RecYds/TmPatt Above AGE Avg,Last  RecYds/TmPatt Above AGE Avg,AVG  RecYds/TmPatt Above AGE Avg,First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Dominator.1,Best Dominator.1,Last Dominator.1,AVG Dominator (Min 2 Seasons).1,First Doa,Last Doa,Best Doa,Doa (AVG),First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,First MS rec Yards.1,last ms rec yards.1,Best MS rec Yards.1,AVG MS REC Yds.1,PPG Above conference expectation (Best Year),S/EX (MS Yards Over Expectation using a 5 year conference AVG of top producer),TeamMate Score (TeamMate Over Expected),Production Score,Efficency Score (YTMpA Over conference AVG WR1s),Calvin Johnson Index,Combine Score,18,19,20,21,22,23,18.1,19.1,20.1,21.1,22.1,23.1,18.2,19.2,20.2,21.2,22.2,23.2,18.3,19.3,20.3,21.3,22.3,23.3,18.4,19.4,20.4,21.4,22.4,23.4,18.5,19.5,20.5,21.5,22.5,23.5,18.6,19.6,20.6,21.6,22.6,23.6,18.7,19.7,20.7,21.7,22.7,23.7,18.8,19.8,20.8,21.8,22.8,23.8,18.9,19.9,20.9,21.9,22.9,23.9,18.10,19.10,20.10,21.10,22.10,23.10,18.11,19.11,20.11,21.11,22.11,23.11,18.12,19.12,20.12,21.12,22.12,23.12,18.13,19.13,20.13,21.13,22.13,23.13,18.14,19.14,20.14,21.14,22.14,23.14,18.15,19.15,20.15,21.15,22.15,23.15,18.16,19.16,20.16,21.16,22.16,23.16,18.17,19.17,20.17,21.17,22.17,23.17,18.18,19.18,20.18,21.18,22.18,23.18,18.19,19.19,20.19,21.19,22.19,23.19,18.20,19.20,20.20,21.20,22.20,23.20,18.21,19.21,20.21,21.21,22.21,23.21,18.22,19.22,20.22,21.22,22.22,23.22,18.23,19.23,20.23,21.23,22.23,23.23,BMI,weight,height,bench,40,3Cone,shuttle,vert,broadInches,Burst Score,HaSS,WaSS,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,Year 1 TGT%,Year 1 EP,Year 1 reFPOE,Year 1 PPG,AVG EP Season 1-3,AVG PPG (PPR) Season 1-3,Year 1 Yards,Year 1 Yards/G
566,L'Damian Washington,ldamian-washington-1,WashLD01,Missouri,SEC (East),UDFA,UDFA,WR,2014,SR,0,23,5/10/1991,8.90%,6.70%,0.80%,2.6,27%,1.99,26%,-,22,-,-,-,3,31,10.9,95,1700,17.9,3.1,1.0,28.70%,31.00%,2.1,25.20%,0,0,-0.94,-3.60%,-7.00%,-12.30%,1.38,2.1,2.1,1.6,-0.3,0.5,0.5,0,-0.2,0.6,0.6,0.1,-1.1,-0.5,-0.5,-0.9,18.20%,31.00%,31.00%,23.10%,12.60%,28.70%,28.70%,18.80%,-18.70%,-3.70%,-3.70%,-13.10%,12.10%,25.20%,25.20%,18.07%,5.80%,14.70%,14.70%,6.39%,1.78,-1.40%,0.70%,-4.70%,0.1,-9.90%,197,,,9.0,9.0,13.0,,,,8.32,9.03,15.33,,,,20.0,25.0,50.0,,,,364.0,443.0,893.0,,,,3.0,2.0,10.0,,,,5.24%,6.08%,11.01%,,,,12.09%,16.90%,25.23%,,,,12.09%,16.90%,25.23%,,,,-18.00%,-14.30%,-4.70%,,,,-9.60%,-4.80%,3.60%,,,,-13.00%,-8.20%,0.10%,,,,13.04%,13.33%,32.26%,,,,18.15%,20.16%,30.95%,,,,12.60%,15.10%,28.70%,,,,-18.70%,-16.80%,-3.70%,,,,8.70%,11.50%,18.10%,,,,0.6,0.7,1.0,,,,0.6,0.7,1.0,,,,-0.4,-0.1,0.1,,,,1.4,1.4,2.1,,,,1.4,1.4,2.1,,-,-,-1.1,-1.2,-0.5,-,,,-0.27,-0.21,0.47,,,,-0.31,-0.25,0.44,,23.74,195.0,76.0,8.0,4.46,7.19,4.35,32.0,115,111.9,105.19,98.57,-,-,-,-,-,-,-,-,-,,
567,Rueben Randle,rueben-randle-1,RandRu00,Louisiana State,SEC (West),2,63,WR,2012,JR,NYG,21,5/7/1991,17.80%,14.50%,24.80%,7.5,93%,8.85,95%,1,19,20,20.32,2,3,32,9.7,96,1636,17.0,3.0,1.0,40.50%,40.50%,3.3,43.00%,0.34,0.34,0.09,12.70%,7.70%,0.90%,0.97,3.3,3.3,2.1,-0.8,1.5,1.5,0.3,-1,1.3,1.3,0.2,-0.8,0.8,0.8,0.1,16.70%,40.50%,40.50%,30.30%,9.00%,40.50%,40.50%,26.00%,-10.80%,9.30%,9.30%,0.20%,7.40%,43.00%,43.00%,34.92%,-17.60%,-30.30%,-17.60%,-25.93%,-1.61,14.70%,2.00%,-0.20%,0.9,-7.00%,250,7.0,11.0,14.0,,,,5.64,9.58,13.76,,,,10.0,33.0,53.0,,,,175.0,544.0,917.0,,,,2.0,3.0,8.0,,,,2.98%,11.04%,19.06%,,,,7.41%,26.89%,42.95%,,,,,26.89%,42.95%,,,,-11.90%,1.60%,12.80%,,,,,4.70%,20.70%,,,,,-0.40%,15.70%,,,,10.53%,30.00%,38.10%,,,,16.65%,33.62%,40.52%,,,,9.00%,28.40%,40.50%,,,,-10.80%,2.20%,9.30%,,,,5.20%,19.00%,31.00%,,,,0.4,0.8,1.2,,,,0.4,0.8,1.2,,,,-0.5,-0.2,0.3,,,,1.0,2.2,3.3,,,,1.0,2.2,3.3,,,,-0.8,0.2,0.8,-,-,-,-0.84,0.35,1.5,,,,-0.86,0.32,1.47,,,,26.25,210.0,75.0,15.0,4.55,6.99,4.36,31.0,121,113.2,101.86,97.99,0,0,0,5.90%,3.6,9.2,4.18,8.22,8.08,298.0,18.6
568,Josh Boyce,josh-boyce-1,BoycJo00,Texas Christian,Big 12,4,102,WR,2013,JR,NWE,22,5/6/1991,13.00%,4.10%,9.60%,6.2,83%,5.28,75%,2,19,20,20.32,2,3,38,14.5,161,2535,15.7,4.2,1.0,31.30%,31.30%,2.5,31.00%,0.71,0.71,0.06,5.60%,6.60%,-1.00%,2.11,2.9,2.2,2.4,0.4,1.2,0.5,0.7,0.5,1.3,0.7,0.8,0.2,0.4,-0.3,0.1,22.90%,34.60%,27.90%,28.50%,21.20%,34.60%,27.90%,27.90%,-5.10%,-4.00%,3.30%,-1.90%,21.70%,28.90%,33.10%,27.91%,3.50%,7.00%,7.00%,5.43%,-0.68,5.60%,-1.70%,-0.60%,0.6,-5.50%,275,,12.0,13.0,13.0,,,,11.22,16.52,15.67,,,,34.0,61.0,66.0,,,,646.0,998.0,891.0,,,,6.0,9.0,7.0,,,,10.27%,17.48%,16.58%,,,,21.66%,33.15%,28.94%,,,,21.66%,33.15%,28.94%,,,,-3.60%,3.00%,-2.30%,,,,-0.70%,10.80%,6.60%,,,,0.30%,11.80%,7.60%,,,,20.69%,36.00%,26.92%,,,,22.94%,34.57%,27.93%,,,,21.20%,34.60%,27.90%,,,,-5.10%,3.30%,-4.00%,,,,16.00%,25.30%,22.80%,,,,0.8,1.2,1.0,,,,0.8,1.2,1.0,,,,0.1,0.5,0.1,,,,2.1,2.9,2.2,,,,2.1,2.9,2.2,,,-,0.2,0.4,-0.3,-,-,,0.42,1.16,0.54,,,,0.53,1.27,0.65,,,28.73,206.0,71.0,22.0,4.38,6.68,4.1,34.0,131,123.3,104.27,111.94,0,0,0,5.40%,3.42,-9.7,2.34,1.71,1.17,121.0,13.4
569,Quron Pratt,quron-pratt-1,PratQu00,Rutgers,American,UDFA,UDFA,WR,2014,SR,0,23,4/25/1991,0.70%,0.00%,1.00%,1.1,9%,1.12,10%,-,-,-,-,-,3,34,5.8,86,1073,12.5,2.5,3.0,8.40%,9.10%,1.3,16.80%,-0.57,-0.57,-1.66,-9.70%,-14.00%,-18.50%,0.81,1.3,1.3,0.9,-0.7,-0.2,-0.2,-0.6,-0.7,-0.2,-0.2,-0.6,-1.7,-1.4,-1.4,-1.7,9.00%,9.10%,9.10%,7.70%,7.60%,8.40%,8.40%,6.80%,-23.60%,-24.00%,-23.60%,-25.10%,10.40%,16.80%,16.80%,11.92%,10.20%,6.90%,10.20%,3.77%,-8.53,-10.30%,-0.10%,-8.70%,-0.7,-,-,,,11.0,11.0,12.0,,,,6.43,4.09,6.97,,,,32.0,22.0,32.0,,,,327.0,230.0,516.0,,,,1.0,0.0,0.0,,,,6.74%,5.64%,7.27%,,,,10.43%,8.48%,16.85%,,,,10.43%,8.48%,16.85%,,,,-19.70%,-22.70%,-13.10%,,,,-11.20%,-13.10%,-4.80%,,,,-15.50%,-17.40%,-9.10%,,,,4.76%,0.00%,0.00%,,,,8.98%,5.01%,9.13%,,,,7.60%,4.20%,8.40%,,,,-23.60%,-27.70%,-24.00%,,,,8.60%,7.10%,12.10%,,,,0.4,0.3,0.6,,,,0.4,0.3,0.6,,,,-0.4,-0.5,-0.2,,,,0.8,0.7,1.3,,,,0.8,0.7,1.3,,-,-,-1.7,-1.9,-1.4,-,,,-0.68,-0.8,-0.22,,,,-0.7,-0.82,-0.24,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
570,Stephen Hill,stephen-hill-1,HillSt00,Georgia Tech,ACC (Coastal),2,43,WR,2012,JR,NYJ,21,4/25/1991,4.80%,6.40%,25.50%,11.2,100%,10.4,99%,1,19,19,19.35,1,3,31,7.5,49,1248,25.5,1.6,1.0,44.90%,44.90%,5.1,44.30%,1.18,1.18,0.88,12.40%,13.70%,1.30%,1.44,5.1,5.1,2.9,-0.3,3.3,3.3,1.2,-0.5,3.1,3.1,1,-0.3,2.6,2.6,0.9,14.70%,44.90%,44.90%,32.90%,8.40%,44.90%,44.90%,27.80%,-11.30%,13.70%,13.70%,2.00%,7.70%,44.30%,44.30%,35.50%,-42.60%,-35.00%,-35.00%,-46.57%,-3.24,15.20%,2.30%,0.50%,2.8,-5.10%,262,8.0,10.0,13.0,,,,5.01,6.55,10.99,,,,6.0,15.0,28.0,,,,137.0,291.0,820.0,,,,1.0,3.0,5.0,,,,3.61%,9.04%,17.28%,,,,7.72%,26.67%,44.32%,,,,7.72%,26.67%,44.32%,,,,-11.50%,1.40%,14.20%,,,,,3.60%,21.30%,,,,,4.90%,22.50%,,,,9.09%,33.33%,45.45%,,,,14.71%,39.00%,44.89%,,,,8.40%,30.00%,44.90%,,,,-11.30%,3.70%,13.70%,,,,5.70%,17.90%,30.80%,,,,0.5,0.5,1.0,,,,0.5,0.5,1.0,,,,-0.4,-0.4,0.1,,,,1.4,2.3,5.1,,,,1.4,2.3,5.1,,,,-0.3,0.4,2.6,-,-,-,-0.3,0.53,3.31,,,,-0.44,0.4,3.18,,,,26.17,215.0,76.0,14.0,4.36,6.88,4.48,39.5,133,133.65,127.02,118.99,0,0,0,13.90%,7.28,-15.9,5.84,7.37,5.59,252.0,22.9
571,Marlon Brown,marlon-brown-1,BrowMa00,Georgia,SEC (East),UDFA,UDFA,WR,2013,SR,0,22,4/22/1991,8.90%,6.70%,1.00%,4.0,48%,2.8,43%,-,-,-,-,-,3,24,7.7,53,836,15.8,2.2,3.0,11.30%,19.70%,2.1,11.80%,-0.45,-0.45,-1.13,-,-,-21.30%,0.6,2.1,2.1,1.2,-1.1,0.4,0.4,-0.5,-1.1,0.4,0.4,-0.5,-1.3,-0.5,-0.5,-1.1,6.70%,19.70%,19.70%,13.20%,4.10%,11.30%,11.30%,7.60%,-22.10%,-20.70%,-20.70%,-22.20%,4.20%,11.80%,11.80%,-,9.30%,28.80%,28.80%,16.38%,-1.67,-14.60%,-1.70%,-8.20%,0,-7.10%,243,,8.0,8.0,8.0,,,,3.79,7.05,12.24,,,,11.0,15.0,27.0,,,,133.0,234.0,469.0,,,,1.0,3.0,4.0,,,,3.06%,3.46%,6.84%,,,,4.22%,6.88%,11.75%,,,,4.22%,6.88%,11.75%,,,,-21.10%,-23.20%,-19.50%,,,,,,,,,,,,,,,,4.00%,8.11%,10.81%,,,,6.68%,13.11%,19.74%,,,,4.10%,7.50%,11.30%,,,,-22.10%,-23.70%,-20.70%,,,,3.60%,5.20%,9.30%,,,,0.3,0.4,1.0,,,,0.3,0.4,1.0,,,,-0.5,-0.3,0.2,,,,0.6,0.9,2.1,,,,0.6,0.9,2.1,,,-,-1.3,-1.6,-0.5,-,-,,-1.06,-0.71,0.42,,,,-1.12,-0.78,0.35,,,25.93,213.0,76.0,0.0,4.63,0.0,0.0,0.0,0,-,98.95,92.7,-,-,-,-,-,-,-,-,-,524.0,37.4
572,Colin Lockett,colin-lockett-1,LockCo00,San Diego State,MWC (West),UDFA,UDFA,WR,2014,SR,0,23,4/5/1991,0.70%,10.00%,3.80%,2.7,29%,2.06,28%,1,20,20,20.41,1,3,36,12.3,130,1999,15.4,3.6,2.0,28.40%,29.40%,1.9,26.30%,-0.03,-0.03,-0.91,-2.90%,-2.50%,-8.60%,2.16,2.2,1.7,1.7,0.5,0.5,0.0,0,0.5,0.5,0.1,0,-0.3,-0.3,-0.9,-0.9,32.70%,32.70%,26.10%,25.00%,32.70%,32.70%,24.10%,23.50%,1.50%,-8.30%,1.50%,-8.40%,30.70%,21.90%,30.70%,21.81%,11.00%,17.20%,17.20%,2.55%,0.73,2.10%,-2.20%,-2.60%,0,-,-,,,13.0,11.0,12.0,,,,16.35,6.5,13.9,,,,58.0,20.0,52.0,,,,970.0,293.0,736.0,,,,8.0,3.0,5.0,,,,12.92%,6.51%,11.33%,,,,30.72%,12.81%,21.92%,,,,30.72%,12.81%,21.92%,,,,0.60%,-18.40%,-8.00%,,,,6.00%,-11.90%,-2.80%,,,,6.40%,-11.50%,-2.40%,,,,34.78%,14.29%,26.32%,,,,32.75%,16.01%,26.13%,,,,32.70%,13.50%,24.10%,,,,1.50%,-18.40%,-8.30%,,,,21.80%,9.70%,16.60%,,,,1.2,0.5,0.9,,,,1.2,0.5,0.9,,,,0.3,-0.4,-0.2,,,,2.2,1.1,1.7,,,,2.2,1.1,1.7,,-,-,-0.3,-1.5,-0.9,-,,,0.46,-0.58,0.03,,,,0.51,-0.52,0.09,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
573,Justin Veltung,justin-veltung-1,VeltJu00,Idaho,WAC,UDFA,UDFA,WR,2013,SR,0,22,3/30/1991,1.40%,0.00%,3.20%,-0.2,1%,0.34,2%,-,19,-,-,-,4,37,4.9,60,891,14.9,1.6,5.0,12.10%,13.50%,0.7,9.40%,-0.91,-0.91,-1.63,-12.40%,-10.70%,-19.20%,0.98,1.0,0.5,0.7,-0.6,-0.6,-1.1,-0.9,-0.6,-0.6,-1.1,-0.9,-0.9,-0.9,-2.1,-1.6,0.00%,23.00%,4.00%,11.00%,21.20%,21.20%,3.00%,9.80%,-5.00%,-28.90%,-5.00%,-20.00%,0.00%,6.00%,12.80%,9.68%,29.90%,2.00%,34.70%,13.16%,-5.01,-15.80%,0.80%,-7.20%,-1.2,-,-,6.0,12.0,10.0,9.0,,,0.5,11.33,4.4,3.48,,,0.0,25.0,20.0,15.0,,,0.0,497.0,231.0,163.0,,,0.0,8.0,0.0,0.0,,,0.00%,4.55%,4.78%,3.38%,,,0.00%,12.80%,10.23%,6.01%,,,,12.80%,10.23%,6.01%,,,,-12.50%,-19.90%,-25.20%,,,,-9.30%,-11.90%,-16.10%,,,,-7.50%,-10.10%,-14.30%,,,0.00%,29.63%,0.00%,0.00%,,,0.00%,22.98%,6.14%,4.01%,,,,21.20%,5.10%,3.00%,,,,-5.00%,-26.10%,-28.90%,,,,8.70%,7.50%,4.70%,,,0.1,0.7,0.4,0.3,,,,0.7,0.4,0.3,,,,-0.2,-0.5,-0.6,,,0.0,1.0,0.7,0.5,,,,1.0,0.7,0.5,,,-,-0.9,-1.8,-2.1,-,-,,-0.64,-0.96,-1.13,,,,-0.61,-0.93,-1.11,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
574,Devin Street,devin-street-1,StreDe00,Pittsburgh,ACC (Coastal),5,146,WR,2014,SR,DAL,23,3/30/1991,4.80%,6.40%,4.00%,5.0,65%,3.85,61%,-,20,22,22.43,4,4,47,12.8,202,2901,14.4,4.3,2.0,30.60%,36.70%,2.6,28.50%,0.23,0.23,-0.44,0.40%,-4.50%,-4.90%,0.96,2.6,2.6,2,-0.8,0.8,0.8,0.2,-0.9,0.7,0.7,0.1,-1,-0.1,-0.1,-0.4,13.40%,36.70%,36.70%,25.10%,12.30%,30.60%,30.60%,22.90%,-13.90%,-1.90%,-1.90%,-7.60%,12.20%,27.80%,29.20%,24.19%,-9.30%,16.20%,16.20%,4.73%,3.55,0.40%,1.60%,-3.50%,0.3,-9.60%,218,,12.0,12.0,13.0,10.0,,,5.87,11.91,15.65,17.9,,,25.0,53.0,73.0,51.0,,,318.0,754.0,975.0,854.0,,,2.0,2.0,5.0,7.0,,,7.00%,12.44%,18.48%,12.75%,,,12.16%,27.65%,29.18%,27.78%,,,12.16%,27.65%,29.18%,27.78%,,,-13.10%,-2.50%,-2.00%,-2.20%,,,-11.60%,3.90%,5.40%,4.00%,,,-16.50%,-1.10%,0.50%,-0.90%,,,12.50%,16.67%,23.81%,33.33%,,,13.36%,24.00%,26.50%,36.67%,,,12.30%,22.20%,26.50%,30.60%,,,-13.90%,-9.10%,-5.40%,-1.90%,,,9.60%,20.00%,23.80%,20.30%,,,0.5,0.9,1.1,1.2,,,0.5,0.9,1.1,1.2,,,-0.3,0.1,0.4,0.4,,,1.0,1.9,2.5,2.6,,,1.0,1.9,2.5,2.6,,-,-1,-0.6,-0.1,-0.1,-,,-0.78,0.17,0.72,0.82,,,-0.94,0.01,0.56,0.66,,24.75,198.0,75.0,0.0,4.55,6.89,4.01,37.0,124,124.9,96.03,92.4,0,0,0,1.50%,0.71,-7.6,0.24,1.32,0.82,18.0,1.1
575,Cordarrelle Patterson,cordarrelle-patterson-1,PattCo00,Tennessee,SEC (East),1,29,WR,2013,JR,MIN,22,3/17/1991,8.90%,6.70%,15.40%,4.1,50%,7.78,90%,-,-,-,-,-,1,12,17,46,778,16.9,3.8,2.0,17.40%,17.40%,1.6,20.50%,-0.03,-0.03,-0.95,-0.80%,-1.70%,-10.70%,1.63,1.6,1.6,1.6,0,0.0,0.0,0,-0.1,-0.1,-0.1,-0.1,-1,-1.0,-1.0,-1,17.40%,17.40%,17.40%,17.40%,17.40%,17.40%,17.40%,17.40%,-14.50%,-14.50%,-14.50%,-4.80%,20.50%,20.50%,20.50%,<2 Yrs of Data,42.60%,42.60%,42.60%,<2 Yrs of Data,3.1,-5.80%,-0.60%,-1.50%,-0.4,-4.60%,281,,,,12.0,,,,,,17.0,,,,,,46.0,,,,,,778.0,,,,,,5.0,,,,,,9.66%,,,,,,20.54%,,,,,,20.54%,,,,,,-10.70%,,,,,,-0.80%,,,,,,-1.70%,,,,,,14.29%,,,,,,17.41%,,,,,,17.40%,,,,,,-14.50%,,,,,,15.10%,,,,,,1.3,,,,,,1.3,,,,,,0.5,,,,,,1.6,,,,,,1.6,,,-,-,-,-1,-,-,,,,-0.03,,,,,,-0.09,,,27.73,216.0,74.0,0.0,4.42,0.0,0.0,37.0,128,126.9,114.54,113.19,0,1,1,14.10%,8.7,-10.5,10.11,5.31,5.74,,
576,Justin Brown,justin-brown-1,BrowJu00,Oklahoma,Big 12,6,186,WR,2013,SR,PIT,22,3/10/1991,13.00%,4.10%,4.50%,3.0,33%,1.9,24%,0,20,-,-,-,3,43,7.9,146,1926,13.2,3.4,2.0,19.80%,19.80%,1.5,21.30%,-0.37,-0.37,-1.01,-3.10%,-3.00%,-9.60%,1.07,1.5,1.5,1.3,-0.6,-0.2,-0.2,-0.4,-0.5,0.0,0.0,-0.3,-0.9,-0.9,-1.0,-1,4.10%,21.20%,18.40%,13.50%,1.30%,21.20%,18.40%,12.80%,-16.10%,-13.60%,-10.00%,-13.20%,2.50%,20.10%,22.50%,19.23%,7.50%,52.00%,52.00%,10.98%,-2.51,-5.10%,-0.90%,-4.80%,-0.8,-,-,4.0,13.0,13.0,13.0,,,3.2,6.31,7.59,14.68,,,5.0,33.0,35.0,73.0,,,78.0,452.0,517.0,879.0,,,0.0,1.0,2.0,5.0,,,1.27%,7.82%,9.36%,12.78%,,,2.53%,15.14%,22.47%,20.10%,,,,15.14%,22.47%,20.10%,,,,-10.20%,-7.70%,-11.10%,,,,-7.20%,0.10%,-2.20%,,,,-7.10%,0.20%,-2.20%,,,0.00%,5.26%,20.00%,16.67%,,,4.11%,10.20%,21.23%,18.38%,,,1.30%,10.20%,21.20%,18.40%,,,,-16.10%,-10.00%,-13.60%,,,1.90%,11.50%,15.90%,16.40%,,,0.3,0.5,0.6,0.9,,,,0.5,0.6,0.9,,,,-0.8,-0.1,0.0,,,0.6,1.1,1.4,1.5,,,,1.1,1.4,1.5,,,-,-0.9,-1.1,-1,-,-,,-0.63,-0.31,-0.16,,,,-0.52,-0.21,-0.05,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,0,0,0,0.00%,0,0,0,6.6,3.57,94.0,11.8
577,Shaquelle Evans,shaquelle-evans-1,EvanSh00,UCLA,Pac-12 (South),4,115,WR,2014,SR,NYJ,23,3/7/1991,6.80%,7.50%,2.00%,2.0,17%,3.15,49%,-,22,-,-,-,3,38,10.2,126,1895,15.0,3.3,1.0,28.80%,28.80%,1.8,22.20%,-0.06,-0.06,-1.01,-4.30%,1.60%,-11.90%,1.14,1.8,1.8,1.6,-0.5,0.2,0.2,-0.1,-0.5,0.2,0.2,0,-1.4,-0.8,-0.8,-1,14.20%,28.80%,28.80%,19.80%,11.10%,28.80%,28.80%,18.80%,-20.10%,-3.60%,-3.60%,-13.00%,11.10%,21.70%,22.70%,18.51%,-9.40%,14.10%,24.60%,9.74%,-3.45,-5.00%,-0.20%,-4.70%,-0.4,-5.50%,275,,,11.0,14.0,13.0,,,,5.63,11.88,13.22,,,,19.0,60.0,47.0,,,,309.0,877.0,709.0,,,,2.0,3.0,9.0,,,,5.51%,12.22%,12.02%,,,,11.13%,22.72%,21.69%,,,,11.13%,22.72%,21.69%,,,,-19.00%,-8.50%,-8.20%,,,,-11.70%,-0.10%,-1.10%,,,,-5.80%,5.80%,4.80%,,,,11.11%,10.34%,36.00%,,,,14.15%,16.53%,28.84%,,,,11.10%,16.50%,28.80%,,,,-20.10%,-15.40%,-3.60%,,,,8.30%,17.50%,16.90%,,,,0.5,0.8,0.8,,,,0.5,0.8,0.8,,,,-0.7,-0.4,-0.4,,,,1.1,1.8,1.8,,,,1.1,1.8,1.8,,-,-,-1.4,-0.8,-0.8,-,,,-0.5,0.15,0.18,,,,-0.46,0.18,0.21,,28.1,213.0,73.0,13.0,4.51,7.07,4.21,34.5,122,119.65,101.4,102.97,-,-,-,-,-,-,-,-,-,,
578,Cody Wilson,cody-wilson-1,WilsCo00,Central Michigan,MAC (West),UDFA,UDFA,WR,2013,SR,0,22,3/5/1991,2.70%,13.60%,5.70%,4.1,49%,2.84,44%,2,19,19,19.49,2,4,46,12.8,230,2734,11.9,5.0,2.0,25.60%,25.60%,2.2,30.00%,-0.1,-0.1,-0.57,-3.20%,-5.00%,-5.90%,0.6,2.4,2.1,1.6,-1.1,0.7,0.4,-0.1,-1.1,0.7,0.4,0,-1.1,0.5,-0.5,-0.6,8.60%,31.40%,19.90%,19.20%,6.70%,31.40%,19.90%,18.00%,-13.00%,-12.10%,5.10%,-9.30%,6.30%,26.70%,33.40%,20.60%,15.80%,9.90%,28.10%,19.76%,3.16,3.60%,-0.90%,-4.90%,0,-,-,11.0,12.0,10.0,13.0,,,5.42,20.18,11.97,13.72,,,25.0,83.0,48.0,74.0,,,226.0,1137.0,526.0,845.0,,,2.0,5.0,3.0,3.0,,,5.22%,17.44%,10.50%,18.18%,,,6.32%,33.36%,15.99%,26.72%,,,6.32%,33.36%,15.99%,26.72%,,,-13.00%,8.10%,-14.10%,-4.50%,,,-17.50%,9.60%,-7.80%,2.90%,,,-19.30%,7.80%,-9.60%,1.10%,,,7.14%,29.41%,12.00%,13.04%,,,8.57%,31.39%,16.79%,19.88%,,,6.70%,31.40%,14.00%,19.90%,,,-13.00%,5.10%,-17.20%,-12.10%,,,5.80%,25.40%,13.20%,22.40%,,,0.3,1.5,0.9,1.1,,,0.3,1.5,0.9,1.1,,,-1.1,0.0,-0.5,-0.3,,,0.6,2.4,1.4,2.1,,,0.6,2.4,1.4,2.1,,,-1.1,0.5,-1.1,-0.5,-,-,-1.11,0.68,-0.33,0.36,,,-1.1,0.68,-0.32,0.37,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
579,Darius Johnson,darius-johnson-2,JohnDa06,Southern Methodist,CUSA (West),UDFA,UDFA,WR,2013,SR,0,22,2/22/1991,1.40%,5.60%,5.00%,4.9,64%,3.33,52%,0,19,20,20.52,2,3,40,14.4,231,2857,12.4,5.8,1.0,33.80%,38.10%,2.2,28.50%,0.4,0.4,-0.3,4.70%,-2.20%,-2.60%,1.78,2.5,1.8,2,0.1,0.9,0.2,0.4,0.2,1.0,0.2,0.5,-0.1,0.0,-0.8,-0.3,12.10%,42.40%,33.70%,27.60%,3.70%,39.20%,28.50%,23.00%,-5.60%,-3.40%,7.90%,-0.40%,2.90%,25.70%,31.30%,26.30%,27.80%,6.30%,27.80%,21.01%,4.85,3.20%,2.60%,0.00%,0.4,-12.30%,245,4.0,13.0,12.0,11.0,,,6.68,15.27,19.9,15.7,,,10.0,78.0,79.0,64.0,,,107.0,845.0,1118.0,787.0,,,1.0,6.0,8.0,5.0,,,2.12%,15.23%,16.60%,12.40%,,,2.92%,21.89%,31.29%,25.73%,,,,21.89%,31.29%,25.73%,,,,-3.40%,1.20%,-5.50%,,,,0.30%,9.70%,4.10%,,,,-6.60%,2.80%,-2.70%,,,4.55%,19.35%,47.06%,31.25%,,,12.13%,22.21%,42.44%,33.67%,,,3.70%,20.60%,39.20%,28.50%,,,,-5.60%,7.90%,-3.40%,,,2.50%,18.60%,23.90%,19.10%,,,0.4,1.0,1.6,1.0,,,,1.0,1.6,1.0,,,,0.1,0.6,0.1,,,0.7,1.8,2.5,1.8,,,,1.8,2.5,1.8,,,-,-0.1,0,-0.8,-,-,,0.13,0.9,0.16,,,,0.21,0.98,0.24,,,26.43,179.0,69.0,6.0,4.6,0.0,4.53,32.0,109,108.9,70.31,79.96,-,-,-,-,-,-,-,-,-,210.0,21.0
