"Maybe: Aggregate data into smaller set of features, then use similarity?",,,"Rookier Year Valuation Metrics: fantasy points,  ???",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP,,,LOOK,,,,,,,,,,,,,,,,,,Breakout Ages,,,,Total Counting Stats,,,,,,,,,,,,YTMpA,,,Dominator,,,YTMpA,,,,YTMpA Above Conference pos AVG (>30 tchs),,,,YTMpA Above Team Avg,,,,YTMpA Above Age AVG (Top 24 players,,,,Per Game Dominator,,,,Dominator,,,,DOa (Dom Over Average),,,,MS Yards,,,,Player Above/Below AVG Team YTMpA,,,,Pahowdy Score,,,,,,,Games Played,,,,,,PPR PPG,,,,,,RECs,,,,,,REC Yards,,,,,,REC TDs,,,,,,MS RECs,,,,,,MS REC Yards,,,,,,MS REC Yards (for AVG if played more then 8 games),,,,,,MS Yards above/below Average by age (top 24 players),,,,,,Player Above/Below AVG Conference REC Yds MS >6 games,,,,,,Player Above/Below AVG Team REC Yds MS,,,,,,MS REC TDs,,,,,,Per Game Dominator (Combined REC Yards Touchdown MS),,,,,,Dominator (Combined REC Yards Touchdown MS),,,,,,DOa above/below Average by age (top 24 players),,,,,,Yards Dominator (Rec's used instead of dominator),,,,,,YTMA  Yards Per Team  Attempt,,,,,,YTMA  Yards Per Team  Attempt For Scores >6 games,,,,,,Player Above/Below AVG Conference YTMA,,,,,,YTMpA (Rec Yards Per Team Pass Attempt),,,,,,YTMpA (Rec Yards Per Team Pass Attempt) >6 games,,,,,,Player YTMpA  above/below Average by age (top 24 players),,,,,,Player Above/Below AVG Conference YTMpA >6 games,,,,,,Player Above/Below AVG Team YTMpA,,,,,,Combine,,,,,,,,,,,,NFL Career Marks since 2000,,,,,,,,
Name,cfb_id,pfr_id,School,Conference,DR,DP,NFL POS,Draft Year,Designation in last Year,Landing Team,Age IN DRAFT YEAR (9/1/dy),DOB,Conference Drafted Rate,Conference Hit Rate,Age Adjusted Hit Rate AVG,Pre-Draft,Pre-Draft Percentile,Post-Draft,Post-Draft Percentile,Cr.Year BO,>20%,>30%,Decimal BOA (30%),Cr.Year BO,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Per Game College Dominator Rating,YPTpA Dominator,Yards Dominator,Conference,Team (Conference Adjusted),Age,Conference,Team,Age,First RecYds/TmPatt,Best RecYds/TmPatt,Last RecYds/TmPatt,AVG RecYds/TmPatt,First RecYds/TmPatt Above Conference AVg,Best RecYds/TmPatt Above Conference Avg,Last  RecYds/TmPatt Above Conference Avg,AVG  RecYds/TmPatt Above Conference Avg,First RecYds/TmPatt Above TM Avg,Best RecYds/TmPatt Above TM Avg,Last  RecYds/TmPatt Above TM Avg,AVG  RecYds/TmPatt Above TM Avg,First RecYds/TmPatt Above AGE Avg,Best RecYds/TmPatt Above AGE Avg,Last  RecYds/TmPatt Above AGE Avg,AVG  RecYds/TmPatt Above AGE Avg,First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Doa,Last Doa,Best Doa,Doa (AVG),First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,PPG Above conference expectation (Best Year),S/EX (MS Yards Over Expectation using a 5 year conference AVG of top producer),TeamMate Score (TeamMate Over Expected),Production Score,Efficency Score (YTMpA Over conference AVG WR1s),Calvin Johnson Index,Combine Score,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,BMI,weight,height,bench,40,3Cone,shuttle,vert,broadInches,Burst Score,HaSS,WaSS,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,Year 1 TGT%,Year 1 EP,Year 1 reFPOE,Year 1 PPG,AVG EP Season 1-3,AVG PPG (PPR) Season 1-3
Colin Lockett,colin-lockett-1,LockCo00,San Diego State,MWC (West),UDFA,UDFA,WR,2014,SR,0,23,4/5/1991,0.70%,10.00%,3.80%,2.7,29%,2.06,28%,1,20,20,20.41,1,3,36,12.3,130,1999,15.4,3.6,2,28.40%,29.40%,1.9,26.30%,-0.03,-0.03,-0.91,-2.90%,-2.50%,-8.60%,2.16,2.2,1.7,1.7,0.5,0.5,0,0,0.5,0.5,0.1,0,-0.3,-0.3,-0.9,-0.9,32.70%,32.70%,26.10%,25.00%,32.70%,32.70%,24.10%,23.50%,1.50%,-8.30%,1.50%,-8.40%,30.70%,21.90%,30.70%,21.81%,11.00%,17.20%,17.20%,2.55%,0.73,2.10%,-2.20%,-2.60%,0,-,-,,,13,11,12,,,,16.35,6.5,13.9,,,,58,20,52,,,,970,293,736,,,,8,3,5,,,,12.92%,6.51%,11.33%,,,,30.72%,12.81%,21.92%,,,,30.72%,12.81%,21.92%,,,,0.60%,-18.40%,-8.00%,,,,6.00%,-11.90%,-2.80%,,,,6.40%,-11.50%,-2.40%,,,,34.78%,14.29%,26.32%,,,,32.75%,16.01%,26.13%,,,,32.70%,13.50%,24.10%,,,,1.50%,-18.40%,-8.30%,,,,21.80%,9.70%,16.60%,,,,1.2,0.5,0.9,,,,1.2,0.5,0.9,,,,0.3,-0.4,-0.2,,,,2.2,1.1,1.7,,,,2.2,1.1,1.7,,-,-,-0.3,-1.5,-0.9,-,,,0.46,-0.58,0.03,,,,0.51,-0.52,0.09,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Justin Veltung,justin-veltung-1,VeltJu00,Idaho,WAC,UDFA,UDFA,WR,2013,SR,0,22,3/30/1991,1.40%,0.00%,3.20%,-0.2,1%,0.34,2%,-,19,-,-,-,4,37,4.9,60,891,14.9,1.6,5,12.10%,13.50%,0.7,9.40%,-0.91,-0.91,-1.63,-12.40%,-10.70%,-19.20%,0.98,1,0.5,0.7,-0.6,-0.6,-1.1,-0.9,-0.6,-0.6,-1.1,-0.9,-0.9,-0.9,-2.1,-1.6,0.00%,23.00%,4.00%,11.00%,21.20%,21.20%,3.00%,9.80%,-5.00%,-28.90%,-5.00%,-20.00%,0.00%,6.00%,12.80%,9.68%,29.90%,2.00%,34.70%,13.16%,-5.01,-15.80%,0.80%,-7.20%,-1.2,-,-,6,12,10,9,,,0.5,11.33,4.4,3.48,,,0,25,20,15,,,0,497,231,163,,,0,8,0,0,,,0.00%,4.55%,4.78%,3.38%,,,0.00%,12.80%,10.23%,6.01%,,,,12.80%,10.23%,6.01%,,,,-12.50%,-19.90%,-25.20%,,,,-9.30%,-11.90%,-16.10%,,,,-7.50%,-10.10%,-14.30%,,,0.00%,29.63%,0.00%,0.00%,,,0.00%,22.98%,6.14%,4.01%,,,,21.20%,5.10%,3.00%,,,,-5.00%,-26.10%,-28.90%,,,,8.70%,7.50%,4.70%,,,0.1,0.7,0.4,0.3,,,,0.7,0.4,0.3,,,,-0.2,-0.5,-0.6,,,0,1,0.7,0.5,,,,1,0.7,0.5,,,-,-0.9,-1.8,-2.1,-,-,,-0.64,-0.96,-1.13,,,,-0.61,-0.93,-1.11,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Devin Street,devin-street-1,StreDe00,Pittsburgh,ACC (Coastal),5,146,WR,2014,SR,DAL,23,3/30/1991,4.80%,6.40%,4.00%,5,65%,3.85,61%,-,20,22,22.43,4,4,47,12.8,202,2901,14.4,4.3,2,30.60%,36.70%,2.6,28.50%,0.23,0.23,-0.44,0.40%,-4.50%,-4.90%,0.96,2.6,2.6,2,-0.8,0.8,0.8,0.2,-0.9,0.7,0.7,0.1,-1,-0.1,-0.1,-0.4,13.40%,36.70%,36.70%,25.10%,12.30%,30.60%,30.60%,22.90%,-13.90%,-1.90%,-1.90%,-7.60%,12.20%,27.80%,29.20%,24.19%,-9.30%,16.20%,16.20%,4.73%,3.55,0.40%,1.60%,-3.50%,0.3,-9.60%,218,,12,12,13,10,,,5.87,11.91,15.65,17.9,,,25,53,73,51,,,318,754,975,854,,,2,2,5,7,,,7.00%,12.44%,18.48%,12.75%,,,12.16%,27.65%,29.18%,27.78%,,,12.16%,27.65%,29.18%,27.78%,,,-13.10%,-2.50%,-2.00%,-2.20%,,,-11.60%,3.90%,5.40%,4.00%,,,-16.50%,-1.10%,0.50%,-0.90%,,,12.50%,16.67%,23.81%,33.33%,,,13.36%,24.00%,26.50%,36.67%,,,12.30%,22.20%,26.50%,30.60%,,,-13.90%,-9.10%,-5.40%,-1.90%,,,9.60%,20.00%,23.80%,20.30%,,,0.5,0.9,1.1,1.2,,,0.5,0.9,1.1,1.2,,,-0.3,0.1,0.4,0.4,,,1,1.9,2.5,2.6,,,1,1.9,2.5,2.6,,-,-1,-0.6,-0.1,-0.1,-,,-0.78,0.17,0.72,0.82,,,-0.94,0.01,0.56,0.66,,24.75,198,75,0,4.55,6.89,4.01,37,124,124.9,96.03,92.4,0,0,0,1.50%,0.71,-7.6,0.24,1.32,0.82
Cordarrelle Patterson,cordarrelle-patterson-1,PattCo00,Tennessee,SEC (East),1,29,WR,2013,JR,MIN,22,3/17/1991,8.90%,6.70%,15.40%,4.1,50%,7.78,90%,-,-,-,-,-,1,12,17,46,778,16.9,3.8,2,17.40%,17.40%,1.6,20.50%,-0.03,-0.03,-0.95,-0.80%,-1.70%,-10.70%,1.63,1.6,1.6,1.6,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-1,-1,-1,-1,17.40%,17.40%,17.40%,17.40%,17.40%,17.40%,17.40%,17.40%,-14.50%,-14.50%,-14.50%,-4.80%,20.50%,20.50%,20.50%,<2 Yrs of Data,42.60%,42.60%,42.60%,<2 Yrs of Data,3.1,-5.80%,-0.60%,-1.50%,-0.4,-4.60%,281,,,,12,,,,,,17,,,,,,46,,,,,,778,,,,,,5,,,,,,9.66%,,,,,,20.54%,,,,,,20.54%,,,,,,-10.70%,,,,,,-0.80%,,,,,,-1.70%,,,,,,14.29%,,,,,,17.41%,,,,,,17.40%,,,,,,-14.50%,,,,,,15.10%,,,,,,1.3,,,,,,1.3,,,,,,0.5,,,,,,1.6,,,,,,1.6,,,-,-,-,-1,-,-,,,,-0.03,,,,,,-0.09,,,27.73,216,74,0,4.42,0,0,37,128,126.9,114.54,113.19,0,1,1,14.10%,8.7,-10.5,10.11,5.31,5.74
Justin Brown,justin-brown-1,BrowJu00,Oklahoma,Big 12,6,186,WR,2013,SR,PIT,22,3/10/1991,13.00%,4.10%,4.50%,3,33%,1.9,24%,0,20,-,-,-,3,43,7.9,146,1926,13.2,3.4,2,19.80%,19.80%,1.5,21.30%,-0.37,-0.37,-1.01,-3.10%,-3.00%,-9.60%,1.07,1.5,1.5,1.3,-0.6,-0.2,-0.2,-0.4,-0.5,0,0,-0.3,-0.9,-0.9,-1,-1,4.10%,21.20%,18.40%,13.50%,1.30%,21.20%,18.40%,12.80%,-16.10%,-13.60%,-10.00%,-13.20%,2.50%,20.10%,22.50%,19.23%,7.50%,52.00%,52.00%,10.98%,-2.51,-5.10%,-0.90%,-4.80%,-0.8,-,-,4,13,13,13,,,3.2,6.31,7.59,14.68,,,5,33,35,73,,,78,452,517,879,,,0,1,2,5,,,1.27%,7.82%,9.36%,12.78%,,,2.53%,15.14%,22.47%,20.10%,,,,15.14%,22.47%,20.10%,,,,-10.20%,-7.70%,-11.10%,,,,-7.20%,0.10%,-2.20%,,,,-7.10%,0.20%,-2.20%,,,0.00%,5.26%,20.00%,16.67%,,,4.11%,10.20%,21.23%,18.38%,,,1.30%,10.20%,21.20%,18.40%,,,,-16.10%,-10.00%,-13.60%,,,1.90%,11.50%,15.90%,16.40%,,,0.3,0.5,0.6,0.9,,,,0.5,0.6,0.9,,,,-0.8,-0.1,0,,,0.6,1.1,1.4,1.5,,,,1.1,1.4,1.5,,,-,-0.9,-1.1,-1,-,-,,-0.63,-0.31,-0.16,,,,-0.52,-0.21,-0.05,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,0,0,0,0.00%,0,0,0,6.6,3.57
Shaquelle Evans,shaquelle-evans-1,EvanSh00,UCLA,Pac-12 (South),4,115,WR,2014,SR,NYJ,23,3/7/1991,6.80%,7.50%,2.00%,2,17%,3.15,49%,-,22,-,-,-,3,38,10.2,126,1895,15,3.3,1,28.80%,28.80%,1.8,22.20%,-0.06,-0.06,-1.01,-4.30%,1.60%,-11.90%,1.14,1.8,1.8,1.6,-0.5,0.2,0.2,-0.1,-0.5,0.2,0.2,0,-1.4,-0.8,-0.8,-1,14.20%,28.80%,28.80%,19.80%,11.10%,28.80%,28.80%,18.80%,-20.10%,-3.60%,-3.60%,-13.00%,11.10%,21.70%,22.70%,18.51%,-9.40%,14.10%,24.60%,9.74%,-3.45,-5.00%,-0.20%,-4.70%,-0.4,-5.50%,275,,,11,14,13,,,,5.63,11.88,13.22,,,,19,60,47,,,,309,877,709,,,,2,3,9,,,,5.51%,12.22%,12.02%,,,,11.13%,22.72%,21.69%,,,,11.13%,22.72%,21.69%,,,,-19.00%,-8.50%,-8.20%,,,,-11.70%,-0.10%,-1.10%,,,,-5.80%,5.80%,4.80%,,,,11.11%,10.34%,36.00%,,,,14.15%,16.53%,28.84%,,,,11.10%,16.50%,28.80%,,,,-20.10%,-15.40%,-3.60%,,,,8.30%,17.50%,16.90%,,,,0.5,0.8,0.8,,,,0.5,0.8,0.8,,,,-0.7,-0.4,-0.4,,,,1.1,1.8,1.8,,,,1.1,1.8,1.8,,-,-,-1.4,-0.8,-0.8,-,,,-0.5,0.15,0.18,,,,-0.46,0.18,0.21,,28.1,213,73,13,4.51,7.07,4.21,34.5,122,119.65,101.4,102.97,-,-,-,-,-,-,-,-,-
Cody Wilson,cody-wilson-1,WilsCo00,Central Michigan,MAC (West),UDFA,UDFA,WR,2013,SR,0,22,3/5/1991,2.70%,13.60%,5.70%,4.1,49%,2.84,44%,2,19,19,19.49,2,4,46,12.8,230,2734,11.9,5,2,25.60%,25.60%,2.2,30.00%,-0.1,-0.1,-0.57,-3.20%,-5.00%,-5.90%,0.6,2.4,2.1,1.6,-1.1,0.7,0.4,-0.1,-1.1,0.7,0.4,0,-1.1,0.5,-0.5,-0.6,8.60%,31.40%,19.90%,19.20%,6.70%,31.40%,19.90%,18.00%,-13.00%,-12.10%,5.10%,-9.30%,6.30%,26.70%,33.40%,20.60%,15.80%,9.90%,28.10%,19.76%,3.16,3.60%,-0.90%,-4.90%,0,-,-,11,12,10,13,,,5.42,20.18,11.97,13.72,,,25,83,48,74,,,226,1137,526,845,,,2,5,3,3,,,5.22%,17.44%,10.50%,18.18%,,,6.32%,33.36%,15.99%,26.72%,,,6.32%,33.36%,15.99%,26.72%,,,-13.00%,8.10%,-14.10%,-4.50%,,,-17.50%,9.60%,-7.80%,2.90%,,,-19.30%,7.80%,-9.60%,1.10%,,,7.14%,29.41%,12.00%,13.04%,,,8.57%,31.39%,16.79%,19.88%,,,6.70%,31.40%,14.00%,19.90%,,,-13.00%,5.10%,-17.20%,-12.10%,,,5.80%,25.40%,13.20%,22.40%,,,0.3,1.5,0.9,1.1,,,0.3,1.5,0.9,1.1,,,-1.1,0,-0.5,-0.3,,,0.6,2.4,1.4,2.1,,,0.6,2.4,1.4,2.1,,,-1.1,0.5,-1.1,-0.5,-,-,-1.11,0.68,-0.33,0.36,,,-1.1,0.68,-0.32,0.37,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Darius Johnson,darius-johnson-2,JohnDa06,Southern Methodist,CUSA (West),UDFA,UDFA,WR,2013,SR,0,22,2/22/1991,1.40%,5.60%,5.00%,4.9,64%,3.33,52%,0,19,20,20.52,2,3,40,14.4,231,2857,12.4,5.8,1,33.80%,38.10%,2.2,28.50%,0.4,0.4,-0.3,4.70%,-2.20%,-2.60%,1.78,2.5,1.8,2,0.1,0.9,0.2,0.4,0.2,1,0.2,0.5,-0.1,0,-0.8,-0.3,12.10%,42.40%,33.70%,27.60%,3.70%,39.20%,28.50%,23.00%,-5.60%,-3.40%,7.90%,-0.40%,2.90%,25.70%,31.30%,26.30%,27.80%,6.30%,27.80%,21.01%,4.85,3.20%,2.60%,0.00%,0.4,-12.30%,245,4,13,12,11,,,6.68,15.27,19.9,15.7,,,10,78,79,64,,,107,845,1118,787,,,1,6,8,5,,,2.12%,15.23%,16.60%,12.40%,,,2.92%,21.89%,31.29%,25.73%,,,,21.89%,31.29%,25.73%,,,,-3.40%,1.20%,-5.50%,,,,0.30%,9.70%,4.10%,,,,-6.60%,2.80%,-2.70%,,,4.55%,19.35%,47.06%,31.25%,,,12.13%,22.21%,42.44%,33.67%,,,3.70%,20.60%,39.20%,28.50%,,,,-5.60%,7.90%,-3.40%,,,2.50%,18.60%,23.90%,19.10%,,,0.4,1,1.6,1,,,,1,1.6,1,,,,0.1,0.6,0.1,,,0.7,1.8,2.5,1.8,,,,1.8,2.5,1.8,,,-,-0.1,0,-0.8,-,-,,0.13,0.9,0.16,,,,0.21,0.98,0.24,,,26.43,179,69,6,4.6,0,4.53,32,109,108.9,70.31,79.96,-,-,-,-,-,-,-,-,-
Markus Wheaton,markus-wheaton-1,WheaMa00,Oregon State,Pac-12 (North),3,79,WR,2013,SR,PIT,22,2/7/1991,5.50%,9.30%,15.10%,4.4,55%,5.48,77%,4,19,21,21.57,4,4,46,14.6,227,2994,13.2,4.9,1,36.00%,36.00%,2.5,31.20%,0.12,0.12,-0.56,1.60%,-2.60%,-4.10%,0.27,2.5,2.5,1.6,-1.2,1,1,0.1,-1.3,0.9,0.9,0.1,-1.4,-0.1,-0.1,-0.6,1.80%,36.00%,36.00%,19.80%,1.30%,36.00%,36.00%,19.70%,-18.50%,4.00%,4.00%,-7.60%,2.50%,31.20%,31.20%,22.38%,22.70%,38.70%,38.70%,21.44%,6.96,5.70%,0.60%,-4.60%,0.4,-9.80%,250,9,12,12,13,,,3.42,15.04,16.38,23.66,,,8,55,73,91,,,89,675,986,1244,,,0,4,1,11,,,1.68%,14.75%,14.57%,18.09%,,,2.53%,27.18%,28.65%,31.16%,,,2.53%,27.18%,28.65%,31.16%,,,-16.70%,1.90%,-1.50%,0.00%,,,-18.30%,6.40%,7.90%,10.40%,,,-22.40%,2.20%,3.70%,6.20%,,,0.00%,21.05%,6.25%,40.74%,,,1.83%,24.12%,17.45%,35.95%,,,1.30%,24.10%,17.50%,36.00%,,,-18.50%,-2.10%,-13.80%,4.00%,,,2.10%,21.00%,21.60%,24.60%,,,0.3,1.2,1.4,1.5,,,0.3,1.2,1.4,1.5,,,-0.6,0.3,0.1,0.2,,,0.3,1.8,2,2.5,,,0.3,1.8,2,2.5,,,-1.4,-0.1,-0.5,-0.1,-,-,-1.24,0.3,0.46,0.96,,,-1.26,0.27,0.43,0.94,,,26.36,189,71,20,4.45,6.8,4.02,37,120,122.9,89.77,96.39,0,0,0,3.00%,1.8,-9.2,1.03,6.28,6.22
Kelvin Benjamin,kelvin-benjamin-1,BenjKe00,Florida State,ACC (Atlantic),1,28,WR,2014,SO,CAR,23,2/5/1991,6.80%,9.40%,28.50%,3.2,37%,7.23,87%,-,22,-,-,-,2,27,12.9,84,1506,17.9,3.1,2,29.30%,29.30%,2.3,22.90%,0.17,0.17,-0.85,-4.30%,-2.20%,-12.50%,1.25,2.3,2.3,1.8,-0.4,0.7,0.7,0.2,-0.5,0.5,0.5,0,-1.3,-0.4,-0.4,-0.9,16.20%,29.30%,29.30%,22.70%,15.00%,29.30%,29.30%,22.10%,-16.90%,-3.10%,-3.10%,-10.00%,13.30%,22.90%,22.90%,18.09%,19.90%,43.30%,43.30%,31.59%,1.7,-5.10%,0.10%,-2.30%,0,-1.60%,319,,,,13,14,,,,,8.22,17.51,,,,,30,54,,,,,495,1011,,,,,4,15,,,,,7.04%,12.24%,,,,,13.33%,22.86%,,,,,13.33%,22.86%,,,,,-17.90%,-7.10%,,,,,-9.00%,0.50%,,,,,-6.90%,2.60%,,,,,16.67%,35.71%,,,,,16.15%,29.29%,,,,,15.00%,29.30%,,,,,-16.90%,-3.10%,,,,,10.20%,17.60%,,,,,0.6,1.1,,,,,0.6,1.1,,,,,-0.5,0,,,,,1.3,2.3,,,,,1.3,2.3,,-,-,-,-1.3,-0.4,-,,,,-0.35,0.69,,,,,-0.47,0.57,,28.46,240,77,13,4.61,7.33,4.39,32.5,119,114.75,116.47,106.28,0,0,1,26.60%,14.94,-11.3,14.24,13.32,13.34
Michael Campanaro,michael-campanaro-1,CampMi02,Wake Forest,ACC (Atlantic),7,218,WR,2014,SR,BAL,23,1/25/1991,6.80%,9.40%,2.00%,4.5,58%,1.75,20%,3,21,21,21.6,3,4,42,15.8,229,2506,10.9,5.5,1,38.70%,57.70%,2.9,34.00%,0.25,0.25,-0.57,-1.30%,-4.00%,-4.80%,0.35,2.9,2.9,1.9,-1.3,1.3,1.3,0.2,-1.4,1.2,1.2,0.1,-1.6,0.3,0.3,-0.6,3.10%,57.70%,57.70%,31.50%,3.10%,38.90%,38.40%,24.40%,-23.20%,6.00%,7.00%,-6.10%,6.20%,34.00%,34.00%,21.04%,-35.10%,-10.80%,15.80%,-9.85%,7.91,6.10%,2.30%,-3.30%,0.7,-8.40%,259,,12,12,10,8,,,3.25,15.24,21.15,23.72,,,10,73,79,67,,,107,833,763,803,,,0,2,6,6,,,3.31%,16.01%,18.54%,16.30%,,,6.20%,25.29%,31.63%,34.04%,,,6.20%,25.29%,31.63%,34.04%,,,-19.10%,-4.80%,0.40%,4.10%,,,-16.20%,2.90%,9.30%,,,,-18.80%,0.20%,6.60%,,,,0.00%,9.09%,46.15%,42.86%,,,3.10%,18.62%,46.67%,57.67%,,,3.10%,17.20%,38.90%,38.40%,,,-23.20%,-14.00%,7.00%,6.00%,,,4.80%,20.60%,25.10%,25.20%,,,0.3,1.2,1.3,1.6,,,0.3,1.2,1.3,1.6,,,-0.8,0.1,0.2,0.5,,,0.4,2,2.1,2.9,,,0.4,2,2.1,2.9,,-,-1.6,-0.5,-0.4,0.3,-,,-1.25,0.37,0.54,1.33,,,-1.37,0.26,0.43,1.21,,28.35,192,69,20,4.46,6.77,4.01,39,122,127.3,85.35,97.05,0,0,0,6.50%,3.65,8.6,5.8,2.93,4.08
Travis Labhart,travis-labhart-1,LabhTr00,Texas A&M,SEC (West),UDFA,UDFA,WR,2014,SR,0,23,1/20/1991,17.80%,14.50%,1.00%,3.7,43%,2.64,40%,-,-,-,-,-,1,11,14.7,51,626,12.3,4.6,4,16.80%,19.90%,1.5,13.60%,-0.3,-0.3,-1.15,-9.40%,-9.00%,-16.30%,1.51,1.5,1.5,1.5,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-1.1,-1.1,-1.1,-1.1,19.90%,19.90%,19.90%,19.90%,16.80%,16.80%,16.80%,16.80%,-15.60%,-15.60%,-15.60%,-5.20%,13.60%,13.60%,13.60%,<2 Yrs of Data,60.30%,60.30%,60.30%,<2 Yrs of Data,-0.97,-14.70%,2.10%,-1.70%,-0.9,-,-,,,,,11,,,,,,14.69,,,,,,51,,,,,,626,,,,,,8,,,,,,10.43%,,,,,,13.63%,,,,,,13.63%,,,,,,-16.30%,,,,,,-9.40%,,,,,,-9.00%,,,,,,20.00%,,,,,,19.87%,,,,,,16.80%,,,,,,-15.60%,,,,,,12.00%,,,,,,0.8,,,,,,0.8,,,,,,-0.1,,,,,,1.5,,,,,,1.5,,-,-,-,-,-1.1,-,,,,,-0.3,,,,,,-0.41,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Tevin Reese,tevin-reese-1,ReesTe00,Baylor,Big 12,7,240,WR,2014,SR,SDG,23,1/2/1991,13.00%,4.10%,1.50%,6.1,81%,3.36,52%,-,21,-,-,-,4,46,15,187,3102,16.6,4.1,2,22.40%,33.70%,3.2,20.10%,0.37,0.37,-0.36,-5.50%,-8.30%,-11.50%,0.86,3.2,3.2,2.1,-0.8,1.5,1.5,0.4,-0.8,1.5,1.5,0.4,-1.1,0.5,0.5,-0.4,5.50%,33.70%,33.70%,20.90%,5.50%,24.00%,20.70%,17.20%,-20.80%,-11.70%,-7.90%,-13.30%,11.00%,18.60%,21.60%,17.27%,26.60%,62.90%,62.90%,50.97%,4.39,-6.00%,1.50%,-6.10%,0.9,-15.50%,231,,13,13,12,8,,,6.65,14.68,17.07,21.59,,,45,51,53,38,,,401,877,957,867,,,0,7,9,8,,,9.59%,12.06%,11.16%,8.50%,,,10.99%,19.19%,21.62%,18.57%,,,10.99%,19.19%,21.62%,18.57%,,,-14.30%,-10.90%,-9.60%,-11.40%,,,-11.80%,-3.60%,-1.10%,,,,-14.60%,-6.40%,-4.00%,,,,0.00%,17.50%,26.47%,22.86%,,,5.49%,18.35%,26.05%,33.66%,,,5.50%,18.30%,24.00%,20.70%,,,-20.80%,-12.90%,-7.90%,-11.70%,,,10.30%,15.60%,16.40%,13.50%,,,0.5,1,1,1.7,,,0.5,1,1,1.7,,,-0.2,0.1,0.1,0.8,,,0.9,2.1,2.2,3.2,,,0.9,2.1,2.2,3.2,,-,-1.1,-0.4,-0.4,0.5,-,,-0.84,0.38,0.49,1.45,,,-0.77,0.45,0.56,1.53,,23.39,163,70,0,4.46,6.63,4.18,41,132,135.7,74.55,82.39,-,-,-,-,-,-,-,-,-
